experiment,n_classes,method,input,total_dissim,output_dir,runtime_s,Q,quality_kind,geometry_Q,pose_gt,position_accuracy,orientation_accuracy,neighbour_accuracy,identity_neighbour_accuracy,complete_reconstruction,n_placed,n_pieces,rows,cols,extraction,q_formula
E0,9,classical,data/input/test/1-109_jpg.rf.89bf5caab33d45a489dc799e1cddd73f.jpg,101336.97737548858,results/evaluation_results/runs/E0_classical,15.521,0.03636363636363637,identity_neighbour,0.2,False,,,0.18181818181818182,0.18181818181818182,0.0,10,10,2,5,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E1,18,classical,data/input/test/18-35-2-39_Color_png.rf.b3fe5e711b1eabeec418c8c93d990c71.jpg,454512.207723889,results/evaluation_results/runs/E1_classical,17.831,0.02962962962962963,identity_neighbour,0.2,False,,,0.14814814814814814,0.14814814814814814,0.0,18,18,6,3,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E2,18,siamese,data/input/test/18-35-2-39_Color_png.rf.b3fe5e711b1eabeec418c8c93d990c71.jpg,449032.07925733604,results/evaluation_results/runs/E2_siamese,19.348,0.044444444444444446,identity_neighbour,0.2,False,,,0.2222222222222222,0.2222222222222222,0.0,18,18,6,3,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E3,18,gnn,data/input/test/18-35-2-39_Color_png.rf.b3fe5e711b1eabeec418c8c93d990c71.jpg,449014.9078411577,results/evaluation_results/runs/E3_gnn,19.622,0.05185185185185185,identity_neighbour,0.2,False,,,0.25925925925925924,0.25925925925925924,0.0,18,18,6,3,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,9,classical,data/input/test/1-109_jpg.rf.89bf5caab33d45a489dc799e1cddd73f.jpg,101336.97737548858,results/evaluation_results/runs/E4_classical_1-109_jpg.rf.89bf5caab33d45a489dc799e1cddd73f,16.697,0.03636363636363637,identity_neighbour,0.2,False,,,0.18181818181818182,0.18181818181818182,0.0,10,10,2,5,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,9,siamese,data/input/test/1-109_jpg.rf.89bf5caab33d45a489dc799e1cddd73f.jpg,99021.31620014585,results/evaluation_results/runs/E4_siamese_1-109_jpg.rf.89bf5caab33d45a489dc799e1cddd73f,16.091,0.05454545454545454,identity_neighbour,0.2,False,,,0.2727272727272727,0.2727272727272727,0.0,10,10,2,5,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,9,gnn,data/input/test/1-109_jpg.rf.89bf5caab33d45a489dc799e1cddd73f.jpg,99008.03247337679,results/evaluation_results/runs/E4_gnn_1-109_jpg.rf.89bf5caab33d45a489dc799e1cddd73f,16.187,0.05454545454545454,identity_neighbour,0.2,False,,,0.2727272727272727,0.2727272727272727,0.0,10,10,2,5,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,17,classical,data/input/test/1-17-2-11_Color_png.rf.387e60fc4ed4ef2b1b04ee4af2160288.jpg,1201969.080582488,results/evaluation_results/runs/E4_classical_1-17-2-11_Color_png.rf.387e60fc4ed4ef2b1b04ee4af2160288,17.973,0.037500000000000006,identity_neighbour,0.2,False,,,0.1875,0.1875,0.0,17,17,1,17,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,17,siamese,data/input/test/1-17-2-11_Color_png.rf.387e60fc4ed4ef2b1b04ee4af2160288.jpg,1199014.6991677242,results/evaluation_results/runs/E4_siamese_1-17-2-11_Color_png.rf.387e60fc4ed4ef2b1b04ee4af2160288,18.035,0.025,identity_neighbour,0.2,False,,,0.125,0.125,0.0,17,17,1,17,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,17,gnn,data/input/test/1-17-2-11_Color_png.rf.387e60fc4ed4ef2b1b04ee4af2160288.jpg,1149007.2620911952,results/evaluation_results/runs/E4_gnn_1-17-2-11_Color_png.rf.387e60fc4ed4ef2b1b04ee4af2160288,18.107,0.05333333333333334,identity_neighbour,0.2,False,,,0.26666666666666666,0.26666666666666666,0.0,16,17,1,17,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,17,classical,data/input/test/1-17-2-6_Color_png.rf.0c1a82b59e52e3fbb61eb0f6625db602.jpg,1303826.3472544765,results/evaluation_results/runs/E4_classical_1-17-2-6_Color_png.rf.0c1a82b59e52e3fbb61eb0f6625db602,17.685,0.07500000000000001,identity_neighbour,0.2,False,,,0.375,0.375,0.0,17,17,1,17,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,17,siamese,data/input/test/1-17-2-6_Color_png.rf.0c1a82b59e52e3fbb61eb0f6625db602.jpg,1300016.4922334403,results/evaluation_results/runs/E4_siamese_1-17-2-6_Color_png.rf.0c1a82b59e52e3fbb61eb0f6625db602,17.867,0.07500000000000001,identity_neighbour,0.2,False,,,0.375,0.375,0.0,17,17,1,17,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,17,gnn,data/input/test/1-17-2-6_Color_png.rf.0c1a82b59e52e3fbb61eb0f6625db602.jpg,1300008.4110088234,results/evaluation_results/runs/E4_gnn_1-17-2-6_Color_png.rf.0c1a82b59e52e3fbb61eb0f6625db602,17.802,0.037500000000000006,identity_neighbour,0.2,False,,,0.1875,0.1875,0.0,17,17,1,17,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,17,classical,data/input/test/1-17-2-8_Color_png.rf.eae7841af6100d95fd99e264481779ec.jpg,1152209.109216977,results/evaluation_results/runs/E4_classical_1-17-2-8_Color_png.rf.eae7841af6100d95fd99e264481779ec,17.767,0.0625,identity_neighbour,0.2,False,,,0.3125,0.3125,0.0,17,17,1,17,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,17,siamese,data/input/test/1-17-2-8_Color_png.rf.eae7841af6100d95fd99e264481779ec.jpg,1149014.1123737094,results/evaluation_results/runs/E4_siamese_1-17-2-8_Color_png.rf.eae7841af6100d95fd99e264481779ec,17.902,0.05,identity_neighbour,0.2,False,,,0.25,0.25,0.0,17,17,1,17,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,17,gnn,data/input/test/1-17-2-8_Color_png.rf.eae7841af6100d95fd99e264481779ec.jpg,1099007.6328965134,results/evaluation_results/runs/E4_gnn_1-17-2-8_Color_png.rf.eae7841af6100d95fd99e264481779ec,18.095,0.05333333333333334,identity_neighbour,0.2,False,,,0.26666666666666666,0.26666666666666666,0.0,16,17,1,17,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,9,classical,data/input/test/1-2_jpg.rf.6b7b5c98d5222238be85c986ee093f10.jpg,500578.7465825076,results/evaluation_results/runs/E4_classical_1-2_jpg.rf.6b7b5c98d5222238be85c986ee093f10,15.083,0.06666666666666667,identity_neighbour,0.2,False,,,0.3333333333333333,0.3333333333333333,0.0,9,9,3,3,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,9,siamese,data/input/test/1-2_jpg.rf.6b7b5c98d5222238be85c986ee093f10.jpg,300013.70790062076,results/evaluation_results/runs/E4_siamese_1-2_jpg.rf.6b7b5c98d5222238be85c986ee093f10,14.802,0.1,identity_neighbour,0.2,False,,,0.5,0.5,0.0,7,9,3,3,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,9,gnn,data/input/test/1-2_jpg.rf.6b7b5c98d5222238be85c986ee093f10.jpg,500005.5369156457,results/evaluation_results/runs/E4_gnn_1-2_jpg.rf.6b7b5c98d5222238be85c986ee093f10,14.717,0.11666666666666668,identity_neighbour,0.2,False,,,0.5833333333333334,0.5833333333333334,0.0,9,9,3,3,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,18,classical,data/input/test/18-35-2-39_Color_png.rf.b3fe5e711b1eabeec418c8c93d990c71.jpg,454512.207723889,results/evaluation_results/runs/E4_classical_18-35-2-39_Color_png.rf.b3fe5e711b1eabeec418c8c93d990c71,18.205,0.02962962962962963,identity_neighbour,0.2,False,,,0.14814814814814814,0.14814814814814814,0.0,18,18,6,3,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,18,siamese,data/input/test/18-35-2-39_Color_png.rf.b3fe5e711b1eabeec418c8c93d990c71.jpg,449032.07925733604,results/evaluation_results/runs/E4_siamese_18-35-2-39_Color_png.rf.b3fe5e711b1eabeec418c8c93d990c71,17.864,0.044444444444444446,identity_neighbour,0.2,False,,,0.2222222222222222,0.2222222222222222,0.0,18,18,6,3,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
E4,18,gnn,data/input/test/18-35-2-39_Color_png.rf.b3fe5e711b1eabeec418c8c93d990c71.jpg,449014.9078413269,results/evaluation_results/runs/E4_gnn_18-35-2-39_Color_png.rf.b3fe5e711b1eabeec418c8c93d990c71,17.952,0.05185185185185185,identity_neighbour,0.2,False,,,0.25925925925925924,0.25925925925925924,0.0,18,18,6,3,ccl,0.5*pos + 0.3*ori + 0.2*edge; missing=0
